EEG_Fp1,EEG_Fp2
-7.8e-05,-1.4e-05
-7.9e-05,-2.1e-05
-9.7e-05,-3.4e-05
-0.000102,-3.9e-05
-9e-05,-3.4e-05
-7.9e-05,-2.1e-05
-0.000108,-4.6e-05
-0.000137,-7.7e-05
-0.000148,-8.3e-05
-0.000106,-3.6e-05
-0.000124,-5.9e-05
-0.000146,-8.2e-05
-0.000176,-0.000113
-0.000151,-7.5e-05
-0.000145,-7.2e-05
-0.000165,-9.1e-05
-0.000207,-0.000131
-0.000163,-9.4e-05
-0.000163,-9.1e-05
-0.000169,-9.6e-05
-0.000194,-0.000131
-0.000176,-0.000115
-0.000158,-0.000101
-0.00016,-0.0001
-0.000181,-0.000115
-0.000183,-0.000119
-0.000146,-8.2e-05
-0.000155,-9.3e-05
-0.000164,-0.000104
-0.000193,-0.000128
-0.000156,-8.2e-05
-0.000143,-7.8e-05
-0.00015,-9.1e-05
-0.000187,-0.000134
-0.000151,-0.000102
-0.000136,-8.5e-05
-0.000148,-3.9e-05
-0.000193,-7e-05
-0.000181,-5.3e-05
-0.000159,-2.2e-05
-0.000177,-4.1e-05
-0.000202,-6.4e-05
-0.000204,-7.4e-05
-0.000157,-3.6e-05
-0.000159,-4.2e-05
-0.00018,-5.7e-05
-0.000203,-7.8e-05
-0.000153,-3e-05
-0.000149,-2.4e-05
-0.000159,-3.7e-05
-0.0002,-8e-05
-0.000161,-5.1e-05
-0.00013,-2.1e-05
-0.000143,-3.6e-05
-0.000179,-7.4e-05
-0.000169,-6.2e-05
-0.000142,-3.8e-05
-0.000145,-5.1e-05
-0.000173,-8.2e-05
-0.000168,-7.8e-05
-0.000123,-2.3e-05
-0.000129,-3e-05
-0.000141,-5.1e-05
-0.000169,-7.6e-05
-0.000121,-2.8e-05
-0.000127,-4.3e-05
-0.000135,-4.6e-05
-0.000157,-7.5e-05
-0.000127,-4.4e-05
-0.000107,-2.1e-05
-0.000122,-2.8e-05
-0.000149,-7.1e-05
-0.000129,-5.9e-05
-0.000104,-2.5e-05
-0.000111,-3.6e-05
-0.000129,-5.4e-05
-0.000136,-7.3e-05
-8.8e-05,-3.3e-05
-9.4e-05,-3.5e-05
-0.000106,-3.8e-05
-0.000142,-7.5e-05
-9.5e-05,-3.7e-05
-8.4e-05,-2.8e-05
-9.7e-05,-2.8e-05
-0.00013,-6.7e-05
-9.2e-05,-2.8e-05
-7.3e-05,-9e-06
-7.4e-05,-1.5e-05
-0.000112,-5.6e-05
-9.9e-05,-3.4e-05
-6.6e-05,-5e-06
-8.6e-05,-2.6e-05
-0.000102,-4.8e-05
-0.000108,-6.8e-05
-6.6e-05,-1.5e-05
-6.9e-05,-1.2e-05
-8.6e-05,-3.2e-05
-0.000118,-6.1e-05
-6.4e-05,-9e-06
-5.5e-05,-8e-06
-6.9e-05,-2.9e-05
-0.000105,-6.1e-05
-6.4e-05,-1.2e-05
-4.3e-05,7e-06
-5.6e-05,1e-06
-7.6e-05,-3.2e-05
-6.4e-05,-2.8e-05
-3.1e-05,-3e-06
-3.8e-05,-8e-06
-5.6e-05,-3.1e-05
-7.6e-05,-5e-05
-4.8e-05,-1.4e-05
-5.4e-05,-8e-06
-6.5e-05,-1.7e-05
-8.4e-05,-5.1e-05
-3.7e-05,-9e-06
-4e-05,-8e-06
-4.8e-05,-1.5e-05
-7.7e-05,-4.4e-05
-3.6e-05,-6e-06
-8e-06,1.3e-05
-2.5e-05,-6e-06
-6.3e-05,-3.8e-05
-5.5e-05,-3.1e-05
-2.8e-05,-0.0
-3.8e-05,-1.1e-05
-5.8e-05,-3.2e-05
-6.3e-05,-3.8e-05
-1.1e-05,1.7e-05
-2e-05,-2e-06
-3.5e-05,-2.5e-05
-6.6e-05,-4.7e-05
-1.4e-05,6e-06
-4e-06,1.2e-05
-2.4e-05,-8e-06
-5.8e-05,-4.2e-05
-2.4e-05,-3e-06
2e-06,2.7e-05
-1e-06,2e-05
-3e-05,-1.8e-05
-1.5e-05,-2e-06
2.5e-05,3.7e-05
1.8e-05,2.5e-05
-1e-05,1e-06
-1.5e-05,-1e-06
3e-05,4.8e-05
3.1e-05,4.6e-05
1.8e-05,3.2e-05
-1.6e-05,-1e-06
3.2e-05,4.5e-05
3.1e-05,4.3e-05
1.7e-05,3e-05
-1.8e-05,-8e-06
7e-06,1.7e-05
2.1e-05,3.2e-05
6e-06,1.8e-05
-3.3e-05,-1.8e-05
-1.1e-05,-5e-06
3.2e-05,2.7e-05
2.8e-05,3.4e-05
7e-06,1.4e-05
5e-06,-3e-06
5.3e-05,3.8e-05
4.2e-05,3.8e-05
2.7e-05,2.2e-05
3e-06,-4e-06
4.2e-05,3.9e-05
4.9e-05,4.2e-05
3.5e-05,2.9e-05
3e-06,-5e-06
3.8e-05,2.2e-05
6.3e-05,4.7e-05
5.8e-05,4.7e-05
3.7e-05,1.9e-05
4.8e-05,3.1e-05
7.9e-05,5.5e-05
4.6e-05,2.8e-05
8e-06,4e-06
1.5e-05,-4e-06
8.4e-05,6.9e-05
6.3e-05,4.6e-05
3.8e-05,2.2e-05
2.7e-05,4e-06
7e-05,4.6e-05
7.1e-05,5.2e-05
6.8e-05,5.1e-05
4.2e-05,2e-05
6.7e-05,5.1e-05
8.6e-05,6.1e-05
8.4e-05,5.6e-05
4.9e-05,2.3e-05
4.4e-05,1.9e-05
9.2e-05,6e-05
8e-05,5.6e-05
5.5e-05,3.6e-05
4.2e-05,2.9e-05
8.7e-05,6.5e-05
9e-05,6.2e-05
7.3e-05,5.7e-05
5.1e-05,2.8e-05
9.8e-05,7.1e-05
0.000106,7.1e-05
7.7e-05,5.2e-05
3.4e-05,7e-06
6.5e-05,3.6e-05
9.8e-05,7.7e-05
8.4e-05,5.2e-05
5.2e-05,1.7e-05
5.8e-05,2.1e-05
8.6e-05,5.5e-05
6e-05,3.5e-05
4.4e-05,1.8e-05
2.6e-05,1.2e-05
7.6e-05,5.7e-05
7.6e-05,5e-05
5.6e-05,2.4e-05
1.5e-05,-1.5e-05
5.9e-05,2.7e-05
8.2e-05,4.3e-05
6.9e-05,3.4e-05
3.4e-05,5e-06
7.6e-05,4.6e-05
0.000104,7.4e-05
9.1e-05,6.1e-05
6.2e-05,2.2e-05
7e-05,3.7e-05
0.000112,8.3e-05
9.5e-05,6e-05
6.5e-05,2.7e-05
5.5e-05,3.1e-05
9e-05,7.6e-05
8.4e-05,6.3e-05
7.2e-05,4.2e-05
5.1e-05,1.7e-05
7.9e-05,5.5e-05
6.8e-05,4.4e-05
5.1e-05,2.4e-05
1.3e-05,-1.2e-05
2.7e-05,0.0
6e-05,3.8e-05
5.7e-05,3.6e-05
2.6e-05,5e-06
3.6e-05,1.7e-05
7.5e-05,4.3e-05
5.6e-05,2.9e-05
3e-05,4e-06
1.8e-05,-1.3e-05
6e-05,3e-05
4.5e-05,1.8e-05
2.9e-05,4e-06
8e-06,-1.5e-05
5.9e-05,3.3e-05
7.1e-05,3.8e-05
5.5e-05,2.2e-05
2.1e-05,-8e-06
5.9e-05,2.2e-05
9.2e-05,5.1e-05
7.9e-05,4.2e-05
5.8e-05,1e-05
5.1e-05,2.3e-05
9.5e-05,7.7e-05
8.2e-05,5.9e-05
5.4e-05,2.5e-05
2.9e-05,8e-06
8.8e-05,7.1e-05
8.3e-05,6.3e-05
7.2e-05,4.8e-05
2.8e-05,8e-06
7.2e-05,4.8e-05
8.3e-05,5.4e-05
6.5e-05,3.5e-05
1.4e-05,-1.6e-05
4.9e-05,2.4e-05
8.1e-05,5.7e-05
6.7e-05,4.9e-05
4.7e-05,1.8e-05
4.1e-05,1.1e-05
8.6e-05,5.8e-05
8.7e-05,5.1e-05
6.2e-05,3e-05
3.2e-05,9e-06
7.6e-05,4.6e-05
7.2e-05,4.2e-05
5.9e-05,3e-05
2.5e-05,-1.7e-05
7e-05,3.5e-05
7.6e-05,4.3e-05
6.4e-05,3.4e-05
2.4e-05,-3e-06
5.5e-05,3.2e-05
8.4e-05,6e-05
7.7e-05,4.9e-05
4.2e-05,7e-06
3.9e-05,8e-06
8e-05,5.7e-05
7e-05,4.9e-05
4e-05,1.8e-05
1.4e-05,-1.1e-05
7.2e-05,3.6e-05
7.1e-05,4e-05
5.6e-05,3.6e-05
2.5e-05,8e-06
5.9e-05,4.6e-05
7.9e-05,5e-05
6.7e-05,4.6e-05
4.1e-05,2.4e-05
5.7e-05,4.3e-05
8.7e-05,7e-05
6.7e-05,5.1e-05
3.6e-05,1.5e-05
2.7e-05,1e-06
7.1e-05,4.6e-05
5.5e-05,3.7e-05
2.6e-05,1.5e-05
1.3e-05,4e-06
5.9e-05,4.5e-05
5.8e-05,4.3e-05
3.4e-05,1.8e-05
4e-06,-1.1e-05
2.5e-05,2e-05
3.2e-05,3.4e-05
3.4e-05,3.2e-05
2e-06,-8e-06
2.1e-05,8e-06
5.5e-05,3.9e-05
5.9e-05,3.4e-05
3.3e-05,1.4e-05
1.8e-05,5e-06
5.6e-05,3e-05
4.5e-05,2.2e-05
2.1e-05,2e-06
-1e-06,-1.8e-05
5.4e-05,3.4e-05
4.9e-05,3.1e-05
2.5e-05,1.6e-05
-2e-06,-2e-05
4.7e-05,2.5e-05
6.6e-05,3.7e-05
5e-05,2.1e-05
1.8e-05,1e-06
3.5e-05,2e-05
7.3e-05,5.9e-05
5.1e-05,3.5e-05
2.5e-05,9e-06
2.3e-05,4e-06
6.6e-05,4.5e-05
5.8e-05,3.8e-05
3.3e-05,1.8e-05
1e-05,-8e-06
5.6e-05,3.8e-05
5.3e-05,2.4e-05
4e-05,7e-06
3e-06,-2.2e-05
4.9e-05,3e-05
5.4e-05,2.9e-05
4.9e-05,3e-05
1.1e-05,-4e-06
2.5e-05,8e-06
6.3e-05,3.6e-05
4.9e-05,2.5e-05
2.5e-05,-8e-06
1e-05,-1.3e-05
5.5e-05,3.2e-05
5e-05,2.3e-05
2.5e-05,-7e-06
1e-06,-2.6e-05
4.7e-05,2.9e-05
4.7e-05,2.8e-05
2.4e-05,9e-06
-9e-06,-3.1e-05
5.9e-05,2.2e-05
8e-05,4.5e-05
6e-05,3.8e-05
3.8e-05,1.3e-05
4.9e-05,2.8e-05
8.4e-05,6.9e-05
7.2e-05,4.6e-05
3.8e-05,1.2e-05
3e-05,1.2e-05
8e-05,6.8e-05
7.7e-05,6.2e-05
5.5e-05,2.9e-05
3.1e-05,8e-06
8.5e-05,6.4e-05
7.5e-05,5.4e-05
6.9e-05,5.1e-05
2.8e-05,1.1e-05
6.4e-05,4.9e-05
6.8e-05,5.2e-05
5.4e-05,4e-05
2.1e-05,4e-06
3.4e-05,1.9e-05
6e-05,4.2e-05
3.9e-05,2.4e-05
6e-06,-8e-06
3e-06,-1.9e-05
3.5e-05,1.6e-05
3.2e-05,1.1e-05
1.8e-05,0.0
-1.8e-05,-3e-05
3.1e-05,1.6e-05
2.7e-05,8e-06
1.6e-05,-1e-06
-8e-06,-2.2e-05
3.8e-05,2.3e-05
5.5e-05,3.5e-05
3.8e-05,1.5e-05
1.2e-05,-8e-06
2.5e-05,1.1e-05
5.5e-05,3.9e-05
5.3e-05,3.7e-05
2.7e-05,1e-05
1.6e-05,2e-06
5.5e-05,4.4e-05
5.4e-05,4.2e-05
3.8e-05,2.5e-05
-2e-06,-1.8e-05
4.6e-05,2.9e-05
5.5e-05,3.9e-05
4.9e-05,3.7e-05
1e-06,-1.4e-05
2.8e-05,2.1e-05
6e-05,5.5e-05
4.3e-05,3.2e-05
-7e-06,-1.6e-05
2.1e-05,8e-06
4.5e-05,3.2e-05
3.1e-05,1.7e-05
1.4e-05,-4e-06
-1e-06,-1.4e-05
4.2e-05,3.4e-05
3.7e-05,3e-05
2.9e-05,1.6e-05
-1.1e-05,-2.4e-05
3.3e-05,1.5e-05
3.5e-05,1.2e-05
1.7e-05,-1e-06
-2.3e-05,-4.3e-05
1.9e-05,-0.0
4.2e-05,2.6e-05
1.8e-05,9e-06
-2.4e-05,-3.4e-05
-1.2e-05,-1.8e-05
2.9e-05,2.9e-05
1.4e-05,1.4e-05
0.0,-1e-06
-5e-06,-1.3e-05
3.8e-05,3.7e-05
4.3e-05,4.3e-05
2.8e-05,2.6e-05
6e-06,-0.0
