avg_evoked,order
1.258584029503384e-11,-4.0
1.2480824852478873e-11,-4.0
1.2383494457388789e-11,-3.99
1.2299248068444932e-11,-3.99
1.2229405144085458e-11,-3.98
1.2175663270360454e-11,-3.98
1.2137444821855074e-11,-3.98
1.2110529954540359e-11,-3.97
1.2090500295908522e-11,-3.97
1.207319571689776e-11,-3.96
1.2053317447509513e-11,-3.96
1.2025742979460807e-11,-3.96
1.1988412708422515e-11,-3.95
1.1943131500166738e-11,-3.95
1.189289339848385e-11,-3.95
1.1840183711381713e-11,-3.94
1.1787910880673193e-11,-3.94
1.1739751668006232e-11,-3.93
1.1697946517054867e-11,-3.93
1.1662573175283283e-11,-3.93
1.1632408233360009e-11,-3.92
1.1605659913505074e-11,-3.92
1.1580156795285079e-11,-3.91
1.1554279200322214e-11,-3.91
1.1529164606718987e-11,-3.91
1.1508317098500113e-11,-3.9
1.14941480808273e-11,-3.9
1.1486187472442766e-11,-3.89
1.1482538089678717e-11,-3.89
1.1480394409517406e-11,-3.89
1.1475447003843166e-11,-3.88
1.1464451495993749e-11,-3.88
1.1448132486140617e-11,-3.88
1.1429199580645757e-11,-3.87
1.1408771637364531e-11,-3.87
1.138727843778577e-11,-3.86
1.1366192485903084e-11,-3.86
1.1345364162049691e-11,-3.86
1.1323592798859436e-11,-3.85
1.1302271864131879e-11,-3.85
1.1283481544094668e-11,-3.84
1.1266257240903057e-11,-3.84
1.1249260130028142e-11,-3.84
1.123428571113108e-11,-3.83
1.1223216375541184e-11,-3.83
1.1215145574350687e-11,-3.82
1.1208565594390134e-11,-3.82
1.1203069500848542e-11,-3.82
1.1197049514507456e-11,-3.81
1.118744335662486e-11,-3.81
1.1172671551078554e-11,-3.8
1.11535737832778e-11,-3.8
1.1131112343712969e-11,-3.8
1.1106819207379952e-11,-3.79
1.1084721779842276e-11,-3.79
1.1068133207035026e-11,-3.79
1.1057157943214071e-11,-3.78
1.105206264396449e-11,-3.78
1.1053816421512972e-11,-3.77
1.1059384214130053e-11,-3.77
1.1062959751288803e-11,-3.77
1.1062786872914825e-11,-3.76
1.1061662493085754e-11,-3.76
1.1061090826788884e-11,-3.75
1.1061740345309918e-11,-3.75
1.1066037744581565e-11,-3.75
1.1075563939910336e-11,-3.74
1.1089804578452004e-11,-3.74
1.1108370386245375e-11,-3.73
1.1130114702688232e-11,-3.73
1.1150121333521946e-11,-3.73
1.1161134225308619e-11,-3.72
1.1159232645215797e-11,-3.72
1.1144275419703427e-11,-3.71
1.1116791700098076e-11,-3.71
1.1080221381094628e-11,-3.71
1.1041156091569296e-11,-3.7
1.1004283334642258e-11,-3.7
1.0969853747471089e-11,-3.7
1.09365944183326e-11,-3.69
1.090448018765343e-11,-3.69
1.0874479987491992e-11,-3.68
1.0850520410850852e-11,-3.68
1.0838175432457154e-11,-3.68
1.0837236484427516e-11,-3.67
1.0841340558789243e-11,-3.67
1.0843186075485274e-11,-3.66
1.0835341537021442e-11,-3.66
1.0808232640090722e-11,-3.66
1.075036996526271e-11,-3.65
1.0652473713162498e-11,-3.65
1.0511575843587529e-11,-3.64
1.0328250720569127e-11,-3.64
1.0105791225679709e-11,-3.64
9.856488457609686e-12,-3.63
9.601532403526764e-12,-3.63
9.364147090540474e-12,-3.62
9.163760844374385e-12,-3.62
9.011315996221686e-12,-3.62
8.908292409171672e-12,-3.61
8.8490163575668e-12,-3.61
8.822681556658757e-12,-3.61
8.815777661409093e-12,-3.6
8.815222669714015e-12,-3.6
8.810650059571472e-12,-3.59
8.795166467265052e-12,-3.59
8.764812225099419e-12,-3.59
8.718277790117437e-12,-3.58
8.657384536504062e-12,-3.58
8.586256387937346e-12,-3.57
8.511422092054465e-12,-3.57
8.44264902627426e-12,-3.57
8.390676942502633e-12,-3.56
8.365463469501374e-12,-3.56
8.37682331553828e-12,-3.55
8.432388759212145e-12,-3.55
8.53070074867618e-12,-3.55
8.660879771956355e-12,-3.54
8.809910698961618e-12,-3.54
8.963834845353572e-12,-3.54
9.104330992301004e-12,-3.53
9.214465405522588e-12,-3.53
9.28630774043702e-12,-3.52
9.321779635067186e-12,-3.52
9.3321565939817e-12,-3.52
9.338524107854703e-12,-3.51
9.366796979390315e-12,-3.51
9.436829557017806e-12,-3.5
9.555528874385557e-12,-3.5
9.717141447859238e-12,-3.5
9.905340016984388e-12,-3.49
1.009771077929135e-11,-3.49
1.0275319359553432e-11,-3.48
1.0429108469402874e-11,-3.48
1.0558091140691388e-11,-3.48
1.0664839743186724e-11,-3.47
1.0758760940618575e-11,-3.47
1.0857809847441442e-11,-3.46
1.097998719158339e-11,-3.46
1.113375275044393e-11,-3.46
1.1317159513432524e-11,-3.45
1.1521146772724875e-11,-3.45
1.1728948685825908e-11,-3.45
1.1919550277962459e-11,-3.44
1.2077384962019406e-11,-3.44
1.2197427463193203e-11,-3.43
1.2283995193849711e-11,-3.43
1.2350649989660309e-11,-3.43
1.2417330934149054e-11,-3.42
1.2503409369923013e-11,-3.42
1.2621391233701683e-11,-3.41
1.2776578419183048e-11,-3.41
1.2966799296376143e-11,-3.41
1.3177188771662916e-11,-3.4
1.3381288072726846e-11,-3.4
1.3552356027976472e-11,-3.39
1.3672518783263108e-11,-3.39
1.3734912575049833e-11,-3.39
1.3744213897340616e-11,-3.38
1.3714633172243571e-11,-3.38
1.366610290156789e-11,-3.38
1.3622364595228992e-11,-3.37
1.3608225586910927e-11,-3.37
1.364168968401782e-11,-3.36
1.372506393790662e-11,-3.36
1.3845340071056232e-11,-3.36
