EEG_Fp1,EEG_Fp2
1.3e-05,7.9e-05
1.8e-05,4.8e-05
1.1e-05,7.1e-05
2.4e-05,6e-05
2.2e-05,5.1e-05
1.3e-05,5.5e-05
1.7e-05,3.9e-05
2.6e-05,1.9e-05
1.5e-05,9.7e-05
1.6e-05,0.000125
2.4e-05,4.6e-05
1.3e-05,5e-05
1.6e-05,5.5e-05
2.2e-05,3.1e-05
2.1e-05,6.3e-05
1.3e-05,4.5e-05
1.9e-05,8.8e-05
1.8e-05,0.000112
9e-06,9.9e-05
1e-05,0.0
2e-06,-1.3e-05
6e-06,5.7e-05
1.6e-05,5.5e-05
2.1e-05,3.8e-05
2.7e-05,8.2e-05
2.2e-05,5.1e-05
6e-06,8e-06
8e-06,3.1e-05
6e-06,-8e-06
4e-06,-3.5e-05
1.2e-05,2e-06
2.1e-05,3.8e-05
2.9e-05,0.000102
4e-05,8.4e-05
1.2e-05,7.4e-05
1.1e-05,6.2e-05
-7e-06,5.7e-05
6e-06,5e-05
1e-05,4.3e-05
4e-06,-1.3e-05
3e-06,2.7e-05
1e-06,2.5e-05
1.3e-05,2.7e-05
9e-06,1.3e-05
-2.1e-05,2.4e-05
-4e-06,7.6e-05
1.9e-05,8.4e-05
2e-05,8e-05
6e-06,3.8e-05
1.8e-05,5.1e-05
2.1e-05,4.6e-05
-0.0,3.3e-05
-4e-06,3.5e-05
1e-06,1.3e-05
1.3e-05,1e-06
3.4e-05,-1.2e-05
3.4e-05,4.7e-05
1.6e-05,3.4e-05
2.2e-05,1e-05
5e-06,2.8e-05
1.2e-05,4.7e-05
2.1e-05,7.3e-05
2e-05,4.6e-05
3.3e-05,2.9e-05
2.9e-05,0.0
2.8e-05,0.0
9e-06,-1.7e-05
2.3e-05,-1e-05
3.5e-05,2e-06
3e-05,1.3e-05
4e-06,-7.3e-05
-4e-06,-8.9e-05
-6e-06,-1.7e-05
-3e-06,3.1e-05
2.4e-05,-8e-06
1.5e-05,1e-05
2e-06,1.4e-05
8e-06,4.6e-05
3.1e-05,0.000125
1.4e-05,9.8e-05
4e-06,8.2e-05
3e-05,5.5e-05
1.3e-05,5.5e-05
2.3e-05,5.7e-05
3.2e-05,3.3e-05
1.4e-05,5.7e-05
9e-06,7.2e-05
3.6e-05,9.4e-05
3.1e-05,0.000116
1e-05,0.000156
3.1e-05,0.000151
1.6e-05,9.8e-05
2.7e-05,0.000136
4e-05,0.000133
5.3e-05,0.000171
3.5e-05,0.000175
2e-05,0.000133
2.5e-05,0.000119
2e-05,7.6e-05
1.8e-05,8e-05
3.1e-05,0.000118
3.8e-05,0.000167
1.7e-05,0.000126
3.2e-05,0.000149
1.8e-05,0.000117
1.7e-05,0.000117
2.9e-05,8.5e-05
3.2e-05,0.000145
2.5e-05,0.000128
2.4e-05,0.00011
3e-05,5.1e-05
3e-05,4.2e-05
1.6e-05,-3.5e-05
2.1e-05,-6e-05
2.5e-05,-2.2e-05
3.7e-05,2e-05
2.7e-05,3.2e-05
3.2e-05,-2.3e-05
3.1e-05,-5e-05
2.1e-05,-6.5e-05
3.8e-05,-7.6e-05
3.7e-05,-8.3e-05
6.1e-05,1e-06
3.2e-05,4.7e-05
4.3e-05,4.4e-05
3.6e-05,7.8e-05
3.2e-05,5.1e-05
4.2e-05,2.7e-05
3.1e-05,2.3e-05
2.7e-05,1.9e-05
2.8e-05,1.9e-05
4.9e-05,6e-05
-3e-06,5.4e-05
-9e-06,4.1e-05
1.5e-05,1e-06
2.5e-05,-6e-06
3.4e-05,8e-06
2.8e-05,3.2e-05
2.5e-05,3.1e-05
3.7e-05,6e-06
2.3e-05,3.8e-05
2.7e-05,3e-06
2.7e-05,1.1e-05
2.3e-05,3.2e-05
4.9e-05,3.9e-05
4.2e-05,3.5e-05
2.7e-05,2.4e-05
3.4e-05,2.2e-05
3e-05,3.9e-05
3.3e-05,8e-05
3.4e-05,6.3e-05
3.8e-05,5.1e-05
3.4e-05,7.3e-05
4.2e-05,8.3e-05
3.9e-05,9.7e-05
3e-06,0.000113
2.9e-05,5.2e-05
3.7e-05,2e-05
2.6e-05,-1.7e-05
2.9e-05,-9e-06
3.8e-05,0.0
3.8e-05,3.4e-05
2.3e-05,-1.3e-05
1.8e-05,3.6e-05
1.9e-05,2.6e-05
3.1e-05,3.7e-05
3.6e-05,6.7e-05
4.2e-05,0.000143
4.3e-05,0.000159
