avg_evoked,order
7.186453812478426e-11,-4.0
7.17912018877884e-11,-4.0
7.174564435047245e-11,-3.99
7.157266651039793e-11,-3.99
7.135514772992712e-11,-3.98
7.13050301218812e-11,-3.98
7.13747887872987e-11,-3.98
7.121847021220965e-11,-3.97
7.081685542366186e-11,-3.97
7.043973252394894e-11,-3.96
7.02014698861117e-11,-3.96
6.998009582859866e-11,-3.96
6.977627185005221e-11,-3.95
6.97168768599903e-11,-3.95
6.972552172503701e-11,-3.95
6.968362323279207e-11,-3.94
6.957298455480278e-11,-3.94
6.950039551678328e-11,-3.93
6.953200890524969e-11,-3.93
6.967793093002208e-11,-3.93
6.987463044897908e-11,-3.92
6.988901987538482e-11,-3.92
6.963355981517365e-11,-3.91
6.936990633906065e-11,-3.91
6.927906887971451e-11,-3.91
6.929775857230858e-11,-3.9
6.935864899139941e-11,-3.9
6.940443286155399e-11,-3.89
6.935263587592915e-11,-3.89
6.928732762179459e-11,-3.89
6.931888099986887e-11,-3.88
6.945156144189203e-11,-3.88
6.96145847993313e-11,-3.88
6.967521839204352e-11,-3.87
6.971639541488016e-11,-3.87
6.97171161794548e-11,-3.86
6.977005847322472e-11,-3.86
7.003394158703547e-11,-3.86
7.02625093812009e-11,-3.85
7.028919420164983e-11,-3.85
7.028427643617527e-11,-3.84
7.026575229095076e-11,-3.84
7.02757762588984e-11,-3.84
7.039300289096456e-11,-3.83
7.04795271078837e-11,-3.83
7.047211544098123e-11,-3.82
7.043763882886453e-11,-3.82
7.026417199594214e-11,-3.82
6.995665582765654e-11,-3.81
6.973505545779245e-11,-3.81
6.960098871672792e-11,-3.8
6.949896899395414e-11,-3.8
6.949107485213907e-11,-3.8
6.950610158632116e-11,-3.79
6.943242163297735e-11,-3.79
6.934955236522331e-11,-3.79
6.93293940002376e-11,-3.78
6.925683613736085e-11,-3.78
6.920050552586925e-11,-3.77
6.919384379203148e-11,-3.77
6.914472516494381e-11,-3.77
6.90833326598992e-11,-3.76
6.898854740079113e-11,-3.76
6.886466477767615e-11,-3.75
6.882261798220605e-11,-3.75
6.887155468855004e-11,-3.75
6.894595770309219e-11,-3.74
6.902425996526627e-11,-3.74
6.91414758219058e-11,-3.73
6.919847179692792e-11,-3.73
6.912787923444314e-11,-3.73
6.901862141699706e-11,-3.72
6.89837896879144e-11,-3.72
6.87920526197228e-11,-3.71
6.837237170651928e-11,-3.71
6.810263477149088e-11,-3.71
6.822534685459955e-11,-3.7
6.850343601309686e-11,-3.7
6.865494128479752e-11,-3.7
6.861879059426372e-11,-3.69
6.852207866243848e-11,-3.69
6.849074387999219e-11,-3.68
6.854940063638042e-11,-3.68
6.869074191009233e-11,-3.68
6.88148072093217e-11,-3.67
6.889469016188023e-11,-3.67
6.902101743260036e-11,-3.66
6.906282583833964e-11,-3.66
6.886366062623174e-11,-3.66
6.836633407464072e-11,-3.65
6.772745258041043e-11,-3.65
6.73536482964685e-11,-3.64
6.704379521020362e-11,-3.64
6.655479126952317e-11,-3.64
6.603322552769908e-11,-3.63
6.558134430383735e-11,-3.63
6.525746877007776e-11,-3.62
6.512827890454844e-11,-3.62
6.502538518115175e-11,-3.62
6.476245104865296e-11,-3.61
6.458767152539427e-11,-3.61
6.45432062168284e-11,-3.61
6.444409884950785e-11,-3.6
6.436057415239019e-11,-3.6
6.435917876558442e-11,-3.59
6.437943606650161e-11,-3.59
6.437645964022291e-11,-3.59
6.434519812700854e-11,-3.58
6.434446249544789e-11,-3.58
6.434778099764857e-11,-3.57
6.431006767832378e-11,-3.57
6.427240833298897e-11,-3.57
6.420589378971582e-11,-3.56
6.398683546340052e-11,-3.56
6.377877120908605e-11,-3.55
6.381400872390931e-11,-3.55
6.382953946650873e-11,-3.55
6.362566065141317e-11,-3.54
6.342791980550754e-11,-3.54
6.345467856382056e-11,-3.54
6.357544693067573e-11,-3.53
6.37201683934839e-11,-3.53
6.379028270697474e-11,-3.52
6.370915453500978e-11,-3.52
6.359290454160194e-11,-3.52
6.36348676031513e-11,-3.51
6.369134654474561e-11,-3.51
6.362563465128477e-11,-3.5
6.352274166538532e-11,-3.5
6.334759703075319e-11,-3.5
6.323725710180305e-11,-3.49
6.316800624943019e-11,-3.49
6.303076829715223e-11,-3.48
6.305454639936879e-11,-3.48
6.333458866514221e-11,-3.48
6.360848665142403e-11,-3.47
6.366812651651772e-11,-3.47
6.366470640111838e-11,-3.46
6.377863476342294e-11,-3.46
6.393480299843897e-11,-3.46
6.403666453705856e-11,-3.45
6.413383364217991e-11,-3.45
6.431286308779296e-11,-3.45
6.422840262618325e-11,-3.44
6.367928743393294e-11,-3.44
6.314915346839741e-11,-3.43
6.299083196777005e-11,-3.43
6.308900623206604e-11,-3.43
6.326457809032119e-11,-3.42
6.330456986891654e-11,-3.42
6.308046711909375e-11,-3.41
6.290315681394874e-11,-3.41
6.295067022557333e-11,-3.41
6.303769897085225e-11,-3.4
6.302338964340964e-11,-3.4
6.299721527712651e-11,-3.39
6.301097780524054e-11,-3.39
6.29561028948642e-11,-3.39
6.285649665914772e-11,-3.38
6.268719859855219e-11,-3.38
6.252349272931189e-11,-3.38
6.247015423809712e-11,-3.37
6.245237125933126e-11,-3.37
6.241217565138716e-11,-3.36
6.229994632130924e-11,-3.36
6.206684733334669e-11,-3.36
6.178705082568788e-11,-3.35
6.164393318001524e-11,-3.35
6.164150611359502e-11,-3.34
6.162215540628986e-11,-3.34
6.156468098332315e-11,-3.34
6.165115639669735e-11,-3.33
6.182314981129739e-11,-3.33
6.187324892641358e-11,-3.32
6.187993797256918e-11,-3.32
6.195272014809445e-11,-3.32
6.206804983645588e-11,-3.31
6.206803992682509e-11,-3.31
6.200330092807657e-11,-3.3
6.196784318507333e-11,-3.3
6.198467376630756e-11,-3.3
6.201141593859146e-11,-3.29
6.203015582335876e-11,-3.29
6.200806624071387e-11,-3.29
6.208235960124637e-11,-3.28
6.225479032195068e-11,-3.28
6.228260171259508e-11,-3.27
6.220103800021644e-11,-3.27
6.222976676647694e-11,-3.27
6.236513283249126e-11,-3.26
6.254308855336461e-11,-3.26
6.268715648613954e-11,-3.25
6.283451520893788e-11,-3.25
6.297071860473288e-11,-3.25
6.299999522793049e-11,-3.24
6.286702709774262e-11,-3.24
6.253430099183003e-11,-3.23
6.209799158888057e-11,-3.23
6.185222284333817e-11,-3.23
6.174154408762466e-11,-3.22
6.157911953717449e-11,-3.22
6.146305466135105e-11,-3.21
6.144125020059725e-11,-3.21
6.147452500495125e-11,-3.21
6.154553685112031e-11,-3.2
6.163422529879787e-11,-3.2
6.174554889519592e-11,-3.2
6.186847182061385e-11,-3.19
6.199787987667308e-11,-3.19
6.198610518168608e-11,-3.18
6.169472655499433e-11,-3.18
6.143341493847168e-11,-3.18
6.137708040057178e-11,-3.17
6.145021494508621e-11,-3.17
6.158571432221515e-11,-3.16
6.161074243989958e-11,-3.16
6.147091436103892e-11,-3.16
6.115010609238436e-11,-3.15
6.079278093469129e-11,-3.15
6.071726339720575e-11,-3.14
6.09317624998912e-11,-3.14
6.110504098487111e-11,-3.14
6.106219573964793e-11,-3.13
6.085134673730155e-11,-3.13
6.060691042542603e-11,-3.12
6.050435338949934e-11,-3.12
6.060173525485841e-11,-3.12
6.068823314299321e-11,-3.11
6.046181166913016e-11,-3.11
5.98755133416793e-11,-3.11
5.929589552168191e-11,-3.1
5.900013892674406e-11,-3.1
5.88712930677661e-11,-3.09
5.867814338860455e-11,-3.09
5.842237794365143e-11,-3.09
5.834002684644755e-11,-3.08
5.840139618043432e-11,-3.08
5.848399870784753e-11,-3.07
5.848234787993003e-11,-3.07
5.839908942398058e-11,-3.07
5.835181120110586e-11,-3.06
5.82911012664545e-11,-3.06
5.822584853288346e-11,-3.05
5.825256796904537e-11,-3.05
5.837718728511287e-11,-3.05
5.846420863357408e-11,-3.04
5.843500102826882e-11,-3.04
5.833796243690448e-11,-3.04
5.843803962331717e-11,-3.03
5.850895701627319e-11,-3.03
5.835318148306756e-11,-3.02
5.861031494311087e-11,-3.02
5.944666183551441e-11,-3.02
6.020028274585624e-11,-3.01
6.04070896218363e-11,-3.01
6.02933785273737e-11,-3.0
6.023288851014433e-11,-3.0
6.022798213650789e-11,-3.0
6.022992355435335e-11,-2.99
6.042304318794541e-11,-2.99
6.064216747834447e-11,-2.98
6.062689427617564e-11,-2.98
6.040782307822951e-11,-2.98
6.017525659254006e-11,-2.97
6.0178866461095e-11,-2.97
6.044337732450977e-11,-2.96
6.080446633079633e-11,-2.96
6.115973918520115e-11,-2.96
6.144027359234225e-11,-2.95
6.167761315239939e-11,-2.95
6.190700113441605e-11,-2.95
6.194458226725149e-11,-2.94
6.196171230895231e-11,-2.94
6.223032557608916e-11,-2.93
6.267772771072789e-11,-2.93
6.307451335039634e-11,-2.93
6.329066987946517e-11,-2.92
6.334853010811528e-11,-2.92
6.333192619470636e-11,-2.91
6.347996543773192e-11,-2.91
6.383811806475005e-11,-2.91
6.41097390837705e-11,-2.9
6.417888191679897e-11,-2.9
6.412533658168453e-11,-2.89
6.405672648649095e-11,-2.89
6.408686657410621e-11,-2.89
6.414515378219525e-11,-2.88
6.412063429557796e-11,-2.88
6.40731793099107e-11,-2.88
6.414302063688808e-11,-2.87
6.415156897358352e-11,-2.87
6.397723634975215e-11,-2.86
6.37165744357024e-11,-2.86
6.338389518510215e-11,-2.86
6.306883244497325e-11,-2.85
6.290638278836263e-11,-2.85
6.288025795577792e-11,-2.84
6.294656695397834e-11,-2.84
6.29958625384616e-11,-2.84
6.294724747453255e-11,-2.83
6.283971463187063e-11,-2.83
6.279210351853307e-11,-2.82
6.285883353176899e-11,-2.82
6.295038268546612e-11,-2.82
6.303135399458959e-11,-2.81
6.310862070818271e-11,-2.81
6.323215808148337e-11,-2.8
6.337006032832592e-11,-2.8
6.342636622469201e-11,-2.8
6.340540954961984e-11,-2.79
6.343866229684712e-11,-2.79
6.35750728442847e-11,-2.79
6.367257676834187e-11,-2.78
6.372816395591621e-11,-2.78
6.37564529852553e-11,-2.77
6.373865997433142e-11,-2.77
6.374738923257656e-11,-2.77
6.381739111715661e-11,-2.76
6.397901966345633e-11,-2.76
6.421581024191975e-11,-2.75
6.438722310759248e-11,-2.75
6.451846693122873e-11,-2.75
6.476738624108292e-11,-2.74
6.502145955519253e-11,-2.74
6.501643786495511e-11,-2.73
6.496024404175928e-11,-2.73
6.499750067904407e-11,-2.73
6.48933256747628e-11,-2.72
6.458709571976417e-11,-2.72
6.430684223182905e-11,-2.71
6.425406286989132e-11,-2.71
6.442587786532547e-11,-2.71
6.439084821752674e-11,-2.7
6.40482092998659e-11,-2.7
6.391617660745926e-11,-2.7
6.39404212565406e-11,-2.69
6.391349088203522e-11,-2.69
6.395370292853384e-11,-2.68
6.404478827445752e-11,-2.68
6.4107960599594e-11,-2.68
6.413305720246004e-11,-2.67
6.414298549687408e-11,-2.67
6.406208630937183e-11,-2.66
6.403474360705263e-11,-2.66
6.416851178645671e-11,-2.66
6.430346931638387e-11,-2.65
6.426836599414698e-11,-2.65
6.400196898278784e-11,-2.64
6.389341058683957e-11,-2.64
6.40253279385232e-11,-2.64
6.411040189844361e-11,-2.63
6.421053896880857e-11,-2.63
6.450447258164948e-11,-2.62
6.472327951328219e-11,-2.62
6.467812738483081e-11,-2.62
6.459234667532084e-11,-2.61
6.447997504846734e-11,-2.61
6.419732022475956e-11,-2.61
6.377994017962656e-11,-2.6
6.33452815921081e-11,-2.6
6.312120974633024e-11,-2.59
6.323964151772701e-11,-2.59
6.328178389584589e-11,-2.59
6.32959710067936e-11,-2.58
6.351326894840903e-11,-2.58
6.380068749286597e-11,-2.57
6.399084045579412e-11,-2.57
6.407281493646856e-11,-2.57
6.411492927935697e-11,-2.56
6.409080449897047e-11,-2.56
6.382686103810849e-11,-2.55
6.34408336434926e-11,-2.55
6.318926309863162e-11,-2.55
6.311850996481286e-11,-2.54
6.326954632255241e-11,-2.54
6.350797333396718e-11,-2.54
6.35929150421516e-11,-2.53
6.347203506372408e-11,-2.53
6.340213680929389e-11,-2.52
6.342261604046496e-11,-2.52
6.332707821809148e-11,-2.52
6.30628457202789e-11,-2.51
6.295298944780079e-11,-2.51
6.309588853057339e-11,-2.5
6.323099427165135e-11,-2.5
6.328701790724884e-11,-2.5
6.334852727298196e-11,-2.49
6.350501498672522e-11,-2.49
6.380248757702723e-11,-2.48
6.403652195373173e-11,-2.48
6.401992199384466e-11,-2.48
6.378321767581224e-11,-2.47
6.346727492758231e-11,-2.47
6.320348887174592e-11,-2.46
6.302908375011372e-11,-2.46
6.292637535431858e-11,-2.46
6.285631706410995e-11,-2.45
6.276104267992952e-11,-2.45
6.251499727492064e-11,-2.45
6.214065621411535e-11,-2.44
6.180793430571154e-11,-2.44
6.16467739538509e-11,-2.43
6.156799091023188e-11,-2.43
6.147364945369869e-11,-2.43
6.133551057456503e-11,-2.42
6.115023624619009e-11,-2.42
6.117780903117659e-11,-2.41
6.132566513381714e-11,-2.41
6.130577317158502e-11,-2.41
6.123757919466277e-11,-2.4
6.126546518664057e-11,-2.4
6.13207701854238e-11,-2.39
6.145407933873625e-11,-2.39
6.169419640912002e-11,-2.39
6.189045140380154e-11,-2.38
6.208512159896188e-11,-2.38
6.222715169209055e-11,-2.38
6.238143209350755e-11,-2.37
6.284058418013847e-11,-2.37
6.349423746692487e-11,-2.36
6.401349599393821e-11,-2.36
6.432566978210138e-11,-2.36
6.445927349992478e-11,-2.35
6.459719619695191e-11,-2.35
6.47699229053739e-11,-2.34
6.489625950888169e-11,-2.34
6.502231292507111e-11,-2.34
6.499311252698536e-11,-2.33
6.48658132885564e-11,-2.33
6.48451415257843e-11,-2.32
6.486840113769314e-11,-2.32
6.495428181220147e-11,-2.32
6.503533356577563e-11,-2.31
6.502316839160783e-11,-2.31
6.497725413937308e-11,-2.3
6.497384165458722e-11,-2.3
6.503700974018942e-11,-2.3
6.523210850082377e-11,-2.29
6.551996179396477e-11,-2.29
6.590180294397061e-11,-2.29
6.639244810286109e-11,-2.28
6.674854120128592e-11,-2.28
6.69252013897544e-11,-2.27
6.709969107687147e-11,-2.27
6.734502726308935e-11,-2.27
6.759019777530658e-11,-2.26
6.768080149256903e-11,-2.26
6.766476681536161e-11,-2.25
6.767030749407896e-11,-2.25
6.760416266589972e-11,-2.25
6.736546335975218e-11,-2.24
6.708470677503292e-11,-2.24
6.696414095155384e-11,-2.23
6.71162132351405e-11,-2.23
6.743041235754441e-11,-2.23
6.790856527722191e-11,-2.22
6.867759486935909e-11,-2.22
6.940552486289677e-11,-2.21
6.988534386365146e-11,-2.21
7.029697485320045e-11,-2.21
7.07030545326212e-11,-2.2
7.115822359745253e-11,-2.2
7.152574407732693e-11,-2.2
7.174546046383598e-11,-2.19
7.189847495893128e-11,-2.19
7.214213999185248e-11,-2.18
7.251883490986045e-11,-2.18
7.291550824708418e-11,-2.18
7.345933267690795e-11,-2.17
7.401428141814075e-11,-2.17
7.427360466380552e-11,-2.16
7.44195614705604e-11,-2.16
7.458264992660046e-11,-2.16
7.476748822385423e-11,-2.15
7.484532312738053e-11,-2.15
7.456580331721915e-11,-2.14
7.407574460006351e-11,-2.14
7.375183066917097e-11,-2.14
7.36780021946449e-11,-2.13
7.375466320240858e-11,-2.13
7.40872395091349e-11,-2.12
7.452700871513606e-11,-2.12
7.484462286815329e-11,-2.12
7.521492137222586e-11,-2.11
7.558984793902301e-11,-2.11
7.57659335810733e-11,-2.11
7.577085407760662e-11,-2.1
7.574775086140776e-11,-2.1
7.585202271590459e-11,-2.09
7.606032793214304e-11,-2.09
7.626837685772592e-11,-2.09
7.634738430644019e-11,-2.08
7.628535151362218e-11,-2.08
7.62726310099005e-11,-2.07
7.635130926589629e-11,-2.07
7.648118494439848e-11,-2.07
7.661891443495109e-11,-2.06
7.669737712178116e-11,-2.06
7.666608488855645e-11,-2.05
7.638230820708803e-11,-2.05
7.597802561603085e-11,-2.05
7.568172185822174e-11,-2.04
7.5556254368573e-11,-2.04
7.556801909913429e-11,-2.04
7.550832808017736e-11,-2.03
7.54787183258778e-11,-2.03
7.555541574680137e-11,-2.02
7.525983674533849e-11,-2.02
7.447928871161106e-11,-2.02
7.387906440677901e-11,-2.01
7.407742291067431e-11,-2.01
7.475030933081772e-11,-2.0
7.51719913309913e-11,-2.0
7.525443936026437e-11,-2.0
7.52069423139116e-11,-1.99
7.517998142501137e-11,-1.99
7.528852101687724e-11,-1.98
7.551954873111021e-11,-1.98
7.567806640292943e-11,-1.98
7.56854472848998e-11,-1.97
7.558067285417861e-11,-1.97
7.538550163255434e-11,-1.96
7.508112986812502e-11,-1.96
7.4716434150881e-11,-1.96
7.446014190014465e-11,-1.95
7.432795118099573e-11,-1.95
7.435125048527409e-11,-1.95
7.449792582419351e-11,-1.94
7.45150413028984e-11,-1.94
7.42980340784433e-11,-1.93
7.390318033269209e-11,-1.93
7.349623067812171e-11,-1.93
7.343772706564236e-11,-1.92
7.374068254290299e-11,-1.92
7.392012485649806e-11,-1.91
7.378143123467845e-11,-1.91
7.349880784687335e-11,-1.91
7.331655438042827e-11,-1.9
7.322843560565332e-11,-1.9
7.319418372992582e-11,-1.89
7.320564039341577e-11,-1.89
7.319191329186428e-11,-1.89
7.305765369479731e-11,-1.88
7.287376114729459e-11,-1.88
7.278899818546019e-11,-1.88
7.271835485272699e-11,-1.87
7.262188401774134e-11,-1.87
7.265760254200287e-11,-1.86
7.284376933206959e-11,-1.86
7.30939409619341e-11,-1.86
7.332526584714665e-11,-1.85
7.353292102465485e-11,-1.85
7.37163952352927e-11,-1.84
7.384752355775532e-11,-1.84
