EEG_Fp1,EEG_Fp2
0.000111,0.000102
0.00012,0.000116
0.000119,0.000117
9.2e-05,9e-05
8.9e-05,9e-05
9.3e-05,9.4e-05
0.000102,0.000103
0.000104,0.000105
0.000101,0.000106
0.000103,0.000107
0.00011,0.000117
0.000122,0.000136
0.000124,0.000129
0.000124,0.000126
0.000107,0.000113
0.000101,9.8e-05
9.5e-05,9.3e-05
9.7e-05,0.000106
9.9e-05,0.000106
0.0001,0.000101
0.000106,0.000109
0.000102,0.0001
0.000109,0.000105
0.000112,0.00011
0.000108,9.7e-05
0.000103,9.2e-05
0.000101,9.3e-05
0.000117,0.000113
0.000134,0.000134
0.000122,0.000131
0.000106,0.000118
0.000107,0.00011
0.000107,0.000101
0.000109,0.000101
0.000107,0.000102
0.000105,9.4e-05
0.000116,0.000105
0.000131,0.000117
0.000117,0.0001
9.7e-05,8.1e-05
0.000114,9e-05
0.000114,9.3e-05
0.000108,8.9e-05
0.00011,9.1e-05
9.9e-05,8.1e-05
0.000111,8.8e-05
0.000107,8.3e-05
0.000113,9.3e-05
0.000104,7.9e-05
0.000112,8.5e-05
9.1e-05,6.7e-05
9.9e-05,6.6e-05
0.000112,7e-05
9.7e-05,6.3e-05
0.000104,6.9e-05
9.9e-05,5.9e-05
8.8e-05,5.7e-05
9.2e-05,5.5e-05
0.000113,7.2e-05
8.7e-05,5e-05
9.8e-05,5.1e-05
0.000107,5.7e-05
9.5e-05,5.2e-05
0.000102,5.9e-05
0.000116,7.7e-05
0.000116,7.3e-05
0.000122,7.6e-05
0.000133,8.4e-05
0.000133,8.4e-05
0.000116,7e-05
0.000119,6.7e-05
0.000114,5.9e-05
0.000122,5.6e-05
0.00013,6.7e-05
0.000105,4.6e-05
0.00011,5.7e-05
0.000122,6.8e-05
0.000117,5.6e-05
8.2e-05,2.4e-05
8.8e-05,2.8e-05
9e-05,2.8e-05
9.4e-05,3.4e-05
0.000127,7e-05
0.000121,5.3e-05
0.000132,5.9e-05
0.000123,6.6e-05
0.000121,6.2e-05
0.000126,6.4e-05
0.000122,5.5e-05
0.000128,6.3e-05
0.000139,7.6e-05
0.000126,6.4e-05
0.00012,5.6e-05
0.000126,5.8e-05
0.000111,4.9e-05
0.000109,4.8e-05
0.000111,4.8e-05
0.000115,5.2e-05
0.000107,5.1e-05
9.4e-05,3.7e-05
0.000115,5.6e-05
0.000121,6e-05
0.000131,6.6e-05
0.000121,6e-05
0.000104,4.7e-05
0.000117,5.1e-05
0.000109,4.4e-05
0.000128,5.8e-05
0.000122,4.3e-05
0.000124,4.4e-05
0.00013,4.7e-05
0.000118,4.8e-05
0.000136,6.3e-05
0.000135,6.3e-05
0.000138,6.7e-05
0.000133,5.9e-05
0.000139,6e-05
0.000135,6.3e-05
0.000133,7e-05
0.000143,8.2e-05
0.000139,7.7e-05
0.000152,8.9e-05
0.000135,7.1e-05
0.000137,8.4e-05
0.000131,7.3e-05
0.000143,8.3e-05
0.000149,8.8e-05
0.000143,8.6e-05
0.000153,8.1e-05
0.000164,8.9e-05
0.000137,6.7e-05
0.000138,6.7e-05
0.00014,7e-05
0.000143,7e-05
0.000129,5.7e-05
0.000141,6.2e-05
0.000142,6.5e-05
0.000129,5.6e-05
0.000156,8e-05
0.000132,5.7e-05
0.000122,4.2e-05
0.000113,3.4e-05
0.000132,4.7e-05
0.00015,7e-05
0.000127,4.1e-05
0.00012,3.8e-05
0.000118,3.4e-05
0.000117,4e-05
0.000118,4.2e-05
0.000117,4.4e-05
0.000114,3.4e-05
0.000126,3.8e-05
0.000122,3.6e-05
0.000125,4.3e-05
0.000115,3.2e-05
0.000118,3.8e-05
0.000117,3.5e-05
0.000112,3.8e-05
0.000112,3.4e-05
0.000112,3.5e-05
0.000121,4.1e-05
0.000121,4.6e-05
0.000128,4.8e-05
0.000111,3.6e-05
0.000128,5.4e-05
0.000135,5.4e-05
0.000121,3.7e-05
0.000126,4.2e-05
0.000118,3e-05
0.000127,3.7e-05
0.000113,2.6e-05
0.000111,1.4e-05
0.000116,1.3e-05
0.000127,2.2e-05
0.000122,2.4e-05
0.00012,1.9e-05
0.00012,9e-06
0.000117,1.2e-05
0.000109,-1e-06
0.00011,-2e-06
0.000119,7e-06
0.000116,-2e-06
0.000118,-3e-06
0.000115,4e-06
0.000122,1.6e-05
0.00012,1.1e-05
0.000107,0.0
0.000114,1.2e-05
0.000118,1.5e-05
0.000107,6e-06
9.5e-05,-1.3e-05
9.7e-05,-4e-06
9.1e-05,-1.3e-05
0.000105,7e-06
9.1e-05,-3e-06
0.0001,-5e-06
9.3e-05,-8e-06
8.9e-05,-1.7e-05
9e-05,-1.6e-05
9.9e-05,-0.0
0.000109,4e-06
0.000102,-7e-06
9.3e-05,-1.3e-05
8.6e-05,-2e-05
8.9e-05,-1.5e-05
8.6e-05,-1.2e-05
9.5e-05,-2e-06
9.6e-05,0.0
9.6e-05,-3e-06
9.4e-05,-6e-06
6.9e-05,-2.8e-05
7.9e-05,-2.3e-05
9.8e-05,-8e-06
0.000115,1.1e-05
0.000116,9e-06
0.000101,-3e-06
9.2e-05,-7e-06
9.1e-05,-1.1e-05
9.3e-05,-4e-06
9.8e-05,4e-06
9.3e-05,-5e-06
6.7e-05,-2.8e-05
7.7e-05,-3.2e-05
8.5e-05,-1.9e-05
8.4e-05,-1.8e-05
8.9e-05,-1.6e-05
8.9e-05,-1.8e-05
9.4e-05,-7e-06
9.1e-05,-4e-06
8.9e-05,-9e-06
8.2e-05,-1.4e-05
8.2e-05,-1e-05
8.5e-05,-4e-06
8.9e-05,-2e-06
9.3e-05,8e-06
9.3e-05,3e-06
0.000107,2.3e-05
0.000101,1.9e-05
9.1e-05,1e-06
8.6e-05,-1.1e-05
0.000101,0.0
0.000106,-4e-06
0.000103,-2e-06
0.000113,1.1e-05
0.000107,8e-06
0.000119,1.7e-05
0.000117,1.3e-05
8.9e-05,-1.6e-05
0.000101,-7e-06
0.000113,1e-05
0.000105,3e-06
0.000106,1e-05
0.000124,3.1e-05
0.000106,8e-06
0.000109,1.3e-05
0.000108,1.7e-05
0.000101,1.4e-05
0.000107,2.2e-05
0.000107,1.7e-05
0.000114,2.9e-05
0.00013,4.6e-05
0.000131,4.4e-05
0.000121,3.6e-05
0.00012,2.3e-05
0.000131,3e-05
0.000118,2.2e-05
9.5e-05,5e-06
9.3e-05,-5e-06
0.0001,1e-06
0.000113,1.7e-05
0.000126,3e-05
0.000128,3.1e-05
0.000118,2.5e-05
0.000115,1.7e-05
0.000113,1.8e-05
0.000114,1.7e-05
0.000118,2.3e-05
0.000122,2.7e-05
0.000131,3.7e-05
0.000134,4.6e-05
0.00014,5.3e-05
0.000115,2.6e-05
9.8e-05,4e-06
0.000114,1.4e-05
0.000102,7e-06
0.000108,1.3e-05
0.000107,1e-05
0.000101,1.1e-05
9.7e-05,1.2e-05
0.0001,2.4e-05
9.1e-05,1.1e-05
9.7e-05,1.6e-05
9.9e-05,2.2e-05
9.3e-05,1.5e-05
0.000106,2.2e-05
0.000111,2.9e-05
0.000101,2e-05
0.000108,2.6e-05
0.000101,2.2e-05
0.000113,3.8e-05
9.9e-05,2.6e-05
9.1e-05,1.4e-05
8.6e-05,1.4e-05
9.8e-05,2.5e-05
0.000108,3.7e-05
0.000106,3.4e-05
9.9e-05,2.2e-05
0.000118,4.2e-05
0.000117,3.4e-05
0.000126,5.1e-05
9.3e-05,1e-05
0.000113,3.1e-05
0.000116,3.5e-05
0.00011,3.6e-05
0.000104,3.5e-05
0.000105,3.1e-05
0.000106,2.8e-05
0.000109,3.5e-05
0.000112,3.4e-05
0.000106,1.8e-05
0.000117,3.2e-05
0.000116,3.5e-05
0.000126,4.1e-05
0.000121,3.9e-05
0.00012,4.7e-05
0.00012,4.1e-05
0.000124,5.5e-05
0.000121,5.5e-05
0.000125,5.4e-05
0.000122,5.3e-05
0.000124,5.6e-05
0.000125,5.3e-05
0.000129,4e-05
0.000133,4.8e-05
0.000128,4.5e-05
0.000127,4.4e-05
0.000121,3.9e-05
0.000117,3.4e-05
0.000127,4.2e-05
0.00013,4.6e-05
0.000144,5.2e-05
0.000151,5.7e-05
0.000145,5.2e-05
0.000133,4.4e-05
0.000119,3.3e-05
0.000117,3.3e-05
0.000119,3.2e-05
0.000124,2.6e-05
0.000133,3.8e-05
