EEG_Fp1,EEG_Fp2
-1.5e-05,9.9e-05
-1.4e-05,8.3e-05
-3.7e-05,7.6e-05
-1.7e-05,0.000106
-2.6e-05,9.9e-05
-0.0,0.000104
-4e-06,0.000103
8e-06,9.9e-05
7e-06,0.000104
1.6e-05,0.000116
5e-06,0.000106
4e-06,9.4e-05
-4e-06,9.1e-05
-2.2e-05,8.3e-05
-5e-06,9.1e-05
-1e-06,0.000106
9e-06,0.000102
7e-06,0.000101
1.2e-05,0.000109
0.0,9e-05
4e-06,9e-05
-2e-06,8.9e-05
1e-05,8.1e-05
2.8e-05,8.6e-05
3.6e-05,9.7e-05
2.2e-05,8.9e-05
2.4e-05,9e-05
-1.3e-05,8.2e-05
-5e-06,8.5e-05
-5e-06,0.000105
2e-06,9.4e-05
-3e-06,9.4e-05
2e-06,9.8e-05
1.2e-05,0.000124
-6e-06,0.000115
-9e-06,0.000107
-1.8e-05,0.000106
-2e-06,0.000102
1.1e-05,0.000111
2.4e-05,0.00011
2.8e-05,9e-05
3.1e-05,0.000106
2.2e-05,0.000103
1.7e-05,8.8e-05
3.6e-05,9.4e-05
3.3e-05,0.000104
3.4e-05,0.000112
2.4e-05,0.000112
3.1e-05,0.00011
4.5e-05,0.000108
4.6e-05,0.000102
4.7e-05,0.00011
3.7e-05,0.000105
3.2e-05,9.1e-05
1.6e-05,8.2e-05
1.5e-05,6.8e-05
3e-06,5.6e-05
-4e-06,6.1e-05
3.7e-05,7.1e-05
1.7e-05,4.6e-05
1e-06,4.7e-05
2.2e-05,5.1e-05
-6e-06,5.3e-05
4e-06,4.6e-05
5e-06,6.4e-05
5e-06,6.8e-05
-1.1e-05,5.7e-05
4e-06,6.8e-05
1e-06,5.9e-05
-1e-06,6.6e-05
7e-06,6.3e-05
2.5e-05,6.3e-05
3e-06,5.5e-05
8e-06,6.5e-05
4.3e-05,8.7e-05
7e-06,7.6e-05
3.1e-05,9.2e-05
1.8e-05,8.7e-05
2e-05,8.6e-05
1.4e-05,8.3e-05
-2.3e-05,6.6e-05
4e-06,8e-05
-6e-06,7.7e-05
-6e-06,7.7e-05
-8e-06,7.2e-05
-1.3e-05,7e-05
-1.4e-05,6.8e-05
-1.4e-05,7.5e-05
4e-06,8.5e-05
-1.7e-05,8.8e-05
-1.2e-05,8e-05
6e-06,7.8e-05
-7e-06,6.7e-05
1.1e-05,8.5e-05
-4e-06,5.8e-05
-2.4e-05,3.4e-05
-4.2e-05,4.1e-05
-4e-05,4.4e-05
-1.7e-05,7.8e-05
-2.9e-05,5e-05
-2.4e-05,4.7e-05
-3.5e-05,3e-05
-2.1e-05,4.4e-05
-2.7e-05,3e-05
-2.6e-05,3.2e-05
-4.2e-05,2.7e-05
-3.4e-05,4.8e-05
-3.6e-05,6.1e-05
-3e-06,6.9e-05
4e-06,7.6e-05
-1.2e-05,6.2e-05
-1.2e-05,5.9e-05
-9e-06,5.9e-05
1.2e-05,7.8e-05
8e-06,7.8e-05
2.1e-05,8.9e-05
3.3e-05,9.5e-05
1.3e-05,0.000106
3e-05,0.000102
2.6e-05,9.7e-05
7e-06,9.8e-05
2.7e-05,0.000107
2.2e-05,0.000102
2.6e-05,0.000113
1.3e-05,0.000103
3.1e-05,9.6e-05
2.8e-05,0.000113
3.7e-05,0.000109
5e-05,0.00011
6.4e-05,0.000104
6.4e-05,0.000115
4.5e-05,9.7e-05
3e-05,9.3e-05
2.2e-05,8.8e-05
7e-05,0.000118
5.6e-05,0.000115
8e-05,0.000125
7.3e-05,0.000123
9.3e-05,0.000128
0.000135,0.00015
0.00016,0.000155
0.000161,0.000161
0.000165,0.000173
0.00015,0.000152
0.000179,0.000169
0.000156,0.000139
0.00013,0.000122
0.000105,0.000125
0.000101,0.000131
0.000123,0.000139
0.000123,0.000154
0.000122,0.000166
0.000127,0.00015
0.000109,0.000158
0.000112,0.000158
0.00013,0.000156
0.00012,0.000165
9.9e-05,0.00016
9.9e-05,0.000152
0.000104,0.000148
0.000108,0.000156
0.000114,0.000156
0.000139,0.000142
0.000101,0.000131
9.3e-05,0.000137
8e-05,0.000136
0.000107,0.000141
8.1e-05,0.000118
7e-05,0.000116
8.2e-05,0.000117
9.1e-05,0.000131
8.9e-05,0.000148
6.4e-05,0.000143
7.6e-05,0.000133
8.2e-05,0.000137
9.8e-05,0.000175
7.5e-05,0.000127
7.8e-05,0.000133
4.2e-05,0.000103
5.9e-05,0.000117
8.1e-05,0.000122
8.4e-05,0.00012
7.2e-05,0.000101
8.2e-05,0.000101
8.4e-05,0.000112
0.000106,0.000106
8.3e-05,9.7e-05
0.000102,0.000109
0.000101,0.000111
8.2e-05,9.1e-05
9.5e-05,9.3e-05
9e-05,0.000101
0.000122,0.000102
0.000114,0.000105
9.9e-05,0.000119
8.4e-05,0.000114
0.000104,0.000113
9.6e-05,0.000107
9e-05,9.4e-05
6.8e-05,7.6e-05
7.4e-05,7.4e-05
8.6e-05,7.4e-05
9.2e-05,8e-05
0.000113,8.3e-05
9.3e-05,6.8e-05
0.000129,9.2e-05
0.000114,8.4e-05
0.00011,9e-05
8.9e-05,9e-05
6.2e-05,7.2e-05
3.1e-05,6.7e-05
6.6e-05,6.9e-05
6.8e-05,7.4e-05
7.5e-05,6.7e-05
5.1e-05,5.9e-05
6.3e-05,9.1e-05
5.9e-05,6.8e-05
5.9e-05,6.9e-05
7.1e-05,7.6e-05
6.8e-05,9.6e-05
4.1e-05,7.6e-05
2.7e-05,7.7e-05
2.9e-05,6.3e-05
3.3e-05,6.7e-05
3.2e-05,5.7e-05
3.6e-05,7.2e-05
4.9e-05,7.1e-05
5.5e-05,7.6e-05
4.4e-05,7.6e-05
4.6e-05,7.6e-05
5.4e-05,6.9e-05
4.4e-05,5.6e-05
3.7e-05,6.8e-05
5.3e-05,8.5e-05
5.1e-05,8.8e-05
7.2e-05,8.3e-05
5.1e-05,8.9e-05
3.2e-05,7.1e-05
6.1e-05,7.3e-05
7.8e-05,7.2e-05
7.2e-05,5.7e-05
5.4e-05,6.2e-05
3.6e-05,5.1e-05
5.5e-05,6.3e-05
5.8e-05,6.9e-05
5.4e-05,7e-05
4e-05,6.8e-05
5.2e-05,8e-05
8.2e-05,9.3e-05
8.8e-05,9.6e-05
7.6e-05,8e-05
8.8e-05,9.4e-05
6.2e-05,0.000104
6.4e-05,9.2e-05
6.7e-05,6.8e-05
7.6e-05,7.5e-05
7.6e-05,0.000103
6.4e-05,9.9e-05
5.5e-05,8.6e-05
3e-05,8.4e-05
3.1e-05,8e-05
4.1e-05,8.8e-05
4.3e-05,8.5e-05
4.7e-05,7.6e-05
3.3e-05,5.8e-05
2.1e-05,5.9e-05
5e-06,6.4e-05
5.2e-05,8.3e-05
3.5e-05,8.4e-05
-8e-06,5.8e-05
-0.0,5.5e-05
-1.3e-05,4.6e-05
1.3e-05,4.5e-05
1.1e-05,4.1e-05
1.3e-05,4.8e-05
2.1e-05,5.1e-05
2.9e-05,5.5e-05
9e-06,4.1e-05
2.5e-05,6.1e-05
6e-06,5.9e-05
3e-05,5.6e-05
4.5e-05,5.7e-05
3.3e-05,6.1e-05
2.9e-05,5.8e-05
1.5e-05,6.7e-05
1.2e-05,6.9e-05
3.4e-05,6.7e-05
3.4e-05,5.4e-05
1.2e-05,5.2e-05
1.4e-05,5.6e-05
-1e-06,4.7e-05
1.2e-05,4.9e-05
-8e-06,4.4e-05
-1e-05,5.4e-05
8e-06,6.4e-05
2.4e-05,7.6e-05
2.1e-05,5.8e-05
2.3e-05,7e-05
1.6e-05,7.3e-05
8e-06,6.2e-05
1.1e-05,6.4e-05
1.9e-05,6.2e-05
2.3e-05,6.5e-05
2.2e-05,6.3e-05
3.4e-05,6.4e-05
5.1e-05,7e-05
2.4e-05,6.3e-05
5e-06,6e-05
-9e-06,4.8e-05
-7e-06,4.2e-05
-1.7e-05,3.8e-05
1e-06,4.7e-05
2e-06,4.3e-05
2.3e-05,4.4e-05
6e-06,5.8e-05
2.4e-05,7e-05
9e-06,5.9e-05
1.4e-05,6.2e-05
2.8e-05,5.5e-05
2.1e-05,7.1e-05
3.3e-05,8.9e-05
