EEG_Fp1,EEG_Fp2
-2.6e-05,7e-05
-5.2e-05,5.7e-05
-5.7e-05,4.4e-05
-5.6e-05,3.8e-05
-5.9e-05,3.9e-05
-3.1e-05,7.5e-05
-3.2e-05,6.7e-05
-2e-06,7.9e-05
-1e-05,7.8e-05
-1.8e-05,7e-05
-3e-06,7.7e-05
5e-06,6.9e-05
0.0,7.2e-05
-3e-06,5.2e-05
-2.1e-05,3.8e-05
-5e-06,5.7e-05
9e-06,7.5e-05
3.2e-05,0.000106
3.6e-05,0.000109
3.6e-05,0.0001
3.8e-05,0.000109
3.8e-05,0.000119
5.2e-05,0.000101
6.3e-05,0.000122
5.1e-05,0.000108
4.6e-05,0.000103
4.3e-05,9e-05
5.5e-05,9.7e-05
6.8e-05,0.00012
8.8e-05,0.000137
6.4e-05,9.3e-05
4.2e-05,8e-05
4.6e-05,8.7e-05
6.3e-05,0.000102
5.9e-05,0.000101
4.9e-05,9.2e-05
7e-05,9.3e-05
7e-05,8.4e-05
5.5e-05,6.1e-05
2.6e-05,5.1e-05
8e-06,7.7e-05
6e-06,7.7e-05
-6e-06,5.5e-05
-7e-06,6e-05
-2.6e-05,5.7e-05
-5e-06,4e-05
-1.6e-05,2.9e-05
-1e-06,6.2e-05
2e-06,6.3e-05
4.4e-05,0.000102
5.6e-05,9.2e-05
2.3e-05,0.000107
4e-06,0.000101
-3.8e-05,5e-05
-4.8e-05,5.1e-05
-3.4e-05,6.4e-05
-5e-06,7.2e-05
-2.1e-05,7.1e-05
-2.2e-05,5.8e-05
-3.8e-05,3.6e-05
-3.6e-05,6.3e-05
-2.9e-05,8.9e-05
-8e-06,9.5e-05
1.3e-05,0.000108
3.8e-05,0.000147
4.2e-05,0.000138
3.4e-05,0.000139
4.1e-05,0.000148
3.8e-05,0.000147
3.9e-05,0.000135
3e-05,0.00011
4.3e-05,0.000122
4.2e-05,0.000126
4e-05,0.000115
3e-05,0.000117
2.9e-05,0.0001
3.5e-05,9.8e-05
3.3e-05,0.000118
3.4e-05,0.000126
3.3e-05,0.000122
4.7e-05,0.000139
6.5e-05,0.000135
6.3e-05,0.000134
7.4e-05,0.00017
7e-05,0.000154
2.9e-05,0.000102
2e-06,6.4e-05
2e-06,7.3e-05
-0.0,5.9e-05
0.0,5.5e-05
-6e-06,8.1e-05
3e-06,0.000115
0.0,0.000122
5e-06,0.000112
2.8e-05,0.000126
3.8e-05,0.000114
8e-06,8.6e-05
-1.2e-05,6.7e-05
-1.3e-05,8.2e-05
-1e-05,8.4e-05
1.1e-05,0.000111
2.4e-05,0.000113
3.5e-05,0.000115
2.8e-05,0.000113
6.1e-05,0.00013
7.9e-05,0.000136
4e-05,0.000121
3.3e-05,0.000126
7.9e-05,0.000172
8.3e-05,0.000181
7.9e-05,0.000187
8.7e-05,0.000193
9.7e-05,0.000183
7.9e-05,0.000161
0.000111,0.00019
7.5e-05,0.000147
6.6e-05,0.000129
7.9e-05,0.000129
5.7e-05,0.000116
7.5e-05,0.000122
7.5e-05,0.000118
8.4e-05,0.000127
